Province_State,新增死亡数,新增确证数
Alabama,1.0,151.0
Alaska,0.0,14.0
Arizona,4.0,250.0
Arkansas,0.0,90.0
California,59.0,2197.0
Colorado,29.0,669.0
Connecticut,24.0,418.0
Delaware,0.0,80.0
District of Columbia,1.0,100.0
Florida,27.0,810.0
Georgia,9.0,454.0
Hawaii,1.0,21.0
Idaho,0.0,56.0
Illinois,31.0,898.0
Indiana,11.0,458.0
Iowa,7.0,82.0
Kansas,0.0,53.0
Kentucky,11.0,33.0
Louisiana,64.0,514.0
Maine,0.0,15.0
Maryland,13.0,492.0
Massachusetts,15.0,822.0
Michigan,77.0,1396.0
Minnesota,7.0,65.0
Mississippi,8.0,183.0
Missouri,11.0,37.0
Montana,0.0,21.0
Nebraska,2.0,43.0
Nevada,0.0,122.0
New Hampshire,0.0,77.0
New Jersey,72.0,3495.0
New Mexico,1.0,120.0
New York,883.0,9327.0
North Carolina,4.0,163.0
North Dakota,0.0,21.0
Ohio,17.0,304.0
Oklahoma,4.0,93.0
Oregon,5.0,169.0
Pennsylvania,15.0,1145.0
Rhode Island,0.0,119.0
South Carolina,4.0,132.0
South Dakota,0.0,28.0
Tennessee,3.0,241.0
Texas,20.0,642.0
Utah,0.0,171.0
Vermont,0.0,49.0
Virginia,0.0,230.0
Washington,21.0,528.0
West Virginia,1.0,42.0
Wisconsin,24.0,290.0
Wyoming,0.0,10.0
